url;brand;category;price;size;delivery time;now
https://www.zalando.nl/theory-river-neoteric-korte-jassen-balsam-green-t4022t018-m11.html;Theory;RIVER NEOTERIC - Korte jassen;285,00;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/boss-magneton-overhemd-white-bb122d10x-a11.html;BOSS;MAGNETON - Overhemd;79,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/jack-and-jones-jeansshort-blue-denim-ja222f0uy-k11.html;Jack & Jones;CHRIS ORIGINAL CJ  - Jeansshort;39,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/tiger-of-sweden-sosa-broek-morning-grey-ti522e03v-c12.html;Tiger of Sweden;SOSA - Broek;159,95;;4-8;2022-03-17 17:06:48.298391
https://www.zalando.nl/boss-sestart-trainingsbroek-light-beige-bb122e0i5-b11.html;BOSS;SESTART - Trainingsbroek;99,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/scotch-and-soda-stuart-garment-shorts-lizard-sc322f0bf-n11.html;Scotch & Soda;STUART GARMENT - Shorts;79,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/tiger-of-sweden-sosa-broek-dove-grey-ti522e03v-c11.html;Tiger of Sweden;SOSA - Broek;159,95;;4-8;2022-03-17 17:06:48.298391
https://www.zalando.nl/jack-and-jones-jeansshort-black-denim-ja222f0ux-q11.html;Jack & Jones;RICK FOX GE  - Jeansshort;49,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/jack-and-jones-jorworld-resort-overhemd-cloud-dancer-ja222d21k-a11.html;Jack & Jones;JORWORLD RESORT - Overhemd;34,99;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/next-utility-sweater-met-rits-red-nx322q0lc-g11.html;Next;UTILITY  - Sweater met rits;82,00;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/jack-and-jones-cargobroek-blue-denim-ja222e11h-k11.html;Jack & Jones;Relaxed fit jeans;59,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/napapijri-s-trient-longsleeve-black-na622o06e-q11.html;Napapijri;S-TRIENT - Longsleeve;59,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/camel-active-straight-leg-jeans-indigo-ca522g096-k11.html;camel active;Straight leg jeans;99,95;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/matinique-overhemd-federal-blue-m6022d09m-k11.html;Matinique;Overhemd;89,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/tommy-jeans-windeaker-zip-off-pant-unisex-cargobroek-black-tob21006c-q11.html;Tommy Jeans;WINDEAKER ZIP OFF PANT UNISEX - Cargobroek;129,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/jack-and-jones-premium-crew-neck-sweater-brown-jam22s054-o12.html;Jack & Jones PREMIUM;CREW NECK - Sweater;39,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/boss-zetrust-sweater-dark-blue-bb122s0cq-k11.html;BOSS;ZETRUST - Sweater;119,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/jack-and-jones-jjirick-jjoriginal-jeansshort-hawthorn-rose-ja222f0t9-j11.html;Jack & Jones;JJIRICK JJORIGINAL AKM - Jeansshort;24,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/jack-and-jones-jjirick-jjoriginal-jeansshort-moonbeam-ja222f0t9-a11.html;Jack & Jones;JJIRICK JJORIGINAL AKM - Jeansshort;24,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/jack-and-jones-jjirick-jjoriginal-jeansshort-mellow-yellow-ja222f0t9-e11.html;Jack & Jones;JJIRICK JJORIGINAL AKM - Jeansshort;24,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/olymp-overhemd-marine-ol422d167-a12.html;OLYMP;Overhemd;59,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/matinique-overhemd-light-pink-m6022d09w-j11.html;Matinique;MATROSTOL CHINA  - Overhemd;79,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/matinique-overhemd-blue-m6022d09w-k11.html;Matinique;MATROSTOL CHINA  - Overhemd;79,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/paul-smith-gents-sweater-whiteblue-ps922s01d-a11.html;Paul Smith;GENTS - Sweater;255,00;;4-8;2022-03-17 17:06:48.298391
https://www.zalando.nl/lacoste-shorts-rose-sy-la222f023-j11.html;Lacoste;Shorts;65,00;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/boss-mabsoot-overhemd-dark-green-bb122d10q-m11.html;BOSS;MABSOOT - Overhemd;89,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/jack-and-jones-slim-fit-jeans-brown-ja222g1ta-o11.html;Jack & Jones;Slim fit jeans;79,99;;3-6;2022-03-17 17:06:48.298391
