url;brand;category;price;size;delivery time;color;now
https://www.zalando.nl/nike-sportswear-t-shirt-print-green-zir012bgb-001.html;Nike Sportswear;T-shirt print;19,90;XXL;3--6;green;2022-03-19 10:48:25.983954
https://www.zalando.nl/jack-and-jones-t-shirt-print-grey-zir012fq7-001.html;Jack & Jones;T-shirt print;17,90;L;3--6;grey;2022-03-19 10:48:25.983954
https://www.zalando.nl/alcott-t-shirt-print-black-zir01f5cv-001.html;ALCOTT;T-shirt print;17,90;S;3--6;black;2022-03-19 10:48:25.983954
https://www.zalando.nl/hummel-t-shirt-print-white-zir012ghr-001.html;Hummel;T-shirt print;18,90;3XL;3--6;white;2022-03-19 10:48:25.983954
https://www.zalando.nl/jack-and-jones-t-shirt-print-white-zir01f9w7-001.html;Jack & Jones;T-shirt print;18,90;S;3--6;white;2022-03-19 10:48:25.983954
https://www.zalando.nl/reebok-classic-t-shirt-print-black-zir012klc-001.html;Reebok Classic;T-shirt print;19,90;S;3--6;black;2022-03-19 10:48:25.983954
https://www.zalando.nl/tom-tailor-denim-t-shirt-print-blue-zir012jy0-001.html;TOM TAILOR DENIM;T-shirt print;18,90;S;3--6;blue;2022-03-19 10:48:25.983954
https://www.zalando.nl/abercrombie-and-fitch-t-shirt-basic-green-zir01fq80-001.html;Abercrombie & Fitch;T-shirt basic;17,90;S;3--6;green;2022-03-19 10:48:25.983954
https://www.zalando.nl/jack-and-jones-t-shirt-print-white-zir00u6pq-001.html;Jack & Jones;T-shirt print;20,20;4XL;3--6;white;2022-03-19 10:48:25.983954
https://www.zalando.nl/superdry-t-shirt-basic-blue-zir012lcf-001.html;Superdry;T-shirt basic;18,90;L;3--6;blue;2022-03-19 10:48:25.983954
https://www.zalando.nl/superdry-t-shirt-print-blue-zir01nsd5-001.html;Superdry;T-shirt print;18,90;S;3--6;blue;2022-03-19 10:48:25.983954
https://www.zalando.nl/bruno-banani-t-shirt-print-black-zir012fax-001.html;Bruno Banani;T-shirt print;17,90;XXL;3--6;black;2022-03-19 10:48:25.983954
https://www.zalando.nl/selected-homme-poloshirt-grey-zir012hhc-001.html;Selected Homme;Poloshirt;18,90;S;3--6;grey;2022-03-19 10:48:25.983954
https://www.zalando.nl/lerros-t-shirt-print-red-zir012kkv-001.html;LERROS;T-shirt print;19,90;L;3--6;red;2022-03-19 10:48:25.983954
https://www.zalando.nl/kappa-poloshirt-yellow-zir012jvc-001.html;Kappa;Poloshirt;18,90;XS;3--6;yellow;2022-03-19 10:48:25.983954
https://www.zalando.nl/asos-t-shirt-print-black-zir00tou6-001.html;ASOS;T-shirt print;17,90;L;3--6;black;2022-03-19 10:48:25.983954
https://www.zalando.nl/esprit-t-shirt-print-multicolored-zir00zlvv-001.html;Esprit;T-shirt print;18,90;L;3--6;multicolored;2022-03-19 10:48:25.983954
https://www.zalando.nl/jack-and-jones-t-shirt-print-black-zir00u6o1-001.html;Jack & Jones;T-shirt print;20,20;L;3--6;black;2022-03-19 10:48:25.983954
https://www.zalando.nl/hollister-co-t-shirt-print-blue-zir00w2ct-001.html;Hollister Co.;T-shirt print;18,90;XL;3--6;blue;2022-03-19 10:48:25.983954
https://www.zalando.nl/soliver-t-shirt-print-redblue-zir00zmu8-001.html;s.Oliver;T-shirt print;17,90;M;3--6;red/blue;2022-03-19 10:48:25.983954
https://www.zalando.nl/jack-and-jones-t-shirt-print-white-zir01io7l-001.html;Jack & Jones;T-shirt print;20,90;M;3--6;white;2022-03-19 10:48:25.983954
https://www.zalando.nl/jack-and-jones-t-shirt-basic-grey-zir00uck2-001.html;Jack & Jones;T-shirt basic;20,90;L;3--6;grey;2022-03-19 10:48:25.983954
https://www.zalando.nl/nike-sportswear-t-shirt-basic-yellow-zir012yca-001.html;Nike Sportswear;T-shirt basic;17,90;S;3--6;yellow;2022-03-19 10:48:25.983954
https://www.zalando.nl/adidas-originals-poloshirt-blue-zir013rg7-001.html;adidas Originals;Poloshirt;17,90;M;3--6;blue;2022-03-19 10:48:25.983954
https://www.zalando.nl/jack-and-jones-t-shirt-print-grey-zir00tvlt-001.html;Jack & Jones;T-shirt print;20,90;L;3--6;grey;2022-03-19 10:48:25.983954
https://www.zalando.nl/scotch-and-soda-poloshirt-blue-zir0144wu-001.html;Scotch & Soda;Poloshirt;19,90;S;3--6;blue;2022-03-19 10:48:25.983954
https://www.zalando.nl/gant-poloshirt-grey-zir00w32p-001.html;GANT;Poloshirt;50,90;XL;3--6;grey;2022-03-19 10:48:25.983954
https://www.zalando.nl/asics-t-shirt-print-blue-zir012kzz-001.html;ASICS;T-shirt print;19,90;L;3--6;blue;2022-03-19 10:48:25.983954
https://www.zalando.nl/boss-t-shirt-print-orange-zir012h1t-001.html;BOSS;T-shirt print;22,90;L;3--6;orange;2022-03-19 10:48:25.983954
https://www.zalando.nl/g-star-t-shirt-print-grey-zir00u78l-001.html;G-Star;T-shirt print;17,90;M;3--6;grey;2022-03-19 10:48:25.983954
https://www.zalando.nl/adidas-originals-poloshirt-blue-zir012aoi-001.html;adidas Originals;Poloshirt;17,90;XXL;3--6;blue;2022-03-19 10:48:25.983954
https://www.zalando.nl/adidas-originals-t-shirt-print-green-zir012ax6-001.html;adidas Originals;T-shirt print;17,90;XL;3--6;green;2022-03-19 10:48:25.983954
https://www.zalando.nl/puma-t-shirt-print-grey-zir012mbo-001.html;Puma;T-shirt print;17,90;M;3--6;grey;2022-03-19 10:48:25.983954
https://www.zalando.nl/under-armour-t-shirt-print-white-zir0144vr-001.html;Under Armour;T-shirt print;20,90;M;3--6;white;2022-03-19 10:48:25.983954
https://www.zalando.nl/farah-t-shirt-basic-blue-zir00u6se-001.html;Farah;T-shirt basic;17,90;M;3--6;blue;2022-03-19 10:48:25.983954
https://www.zalando.nl/nike-sportswear-t-shirt-basic-red-zir01505g-001.html;Nike Sportswear;T-shirt basic;17,90;XL;3--6;red;2022-03-19 10:48:25.983954
https://www.zalando.nl/nike-sportswear-t-shirt-print-grey-zir012ajf-001.html;Nike Sportswear;T-shirt print;17,90;L;3--6;grey;2022-03-19 10:48:25.983954
https://www.zalando.nl/nike-sportswear-poloshirt-grey-zir012beu-001.html;Nike Sportswear;Poloshirt;17,90;M;3--6;grey;2022-03-19 10:48:25.983954
https://www.zalando.nl/boss-t-shirt-print-blue-zir00w2e9-001.html;BOSS;T-shirt print;19,90;XXL;3--6;blue;2022-03-19 10:48:25.983954
https://www.zalando.nl/hugo-t-shirt-basic-green-zir00w2fr-001.html;HUGO;T-shirt basic;17,90;L;3--6;brown;2022-03-19 10:48:25.983954
https://www.zalando.nl/tommy-hilfiger-poloshirt-red-zir00tqnx-001.html;Tommy Hilfiger;Poloshirt;17,90;S;3--6;red;2022-03-19 10:48:25.983954
https://www.zalando.nl/tommy-jeans-t-shirt-print-yellow-zir013pn6-001.html;Tommy Jeans;T-shirt print;18,90;L;3--6;yellow;2022-03-19 10:48:25.983954
https://www.zalando.nl/jlindeberg-poloshirt-red-zir012mfw-001.html;J.LINDEBERG;Poloshirt;21,90;L;3--6;red;2022-03-19 10:48:25.983954
https://www.zalando.nl/adidas-originals-poloshirt-multi-colored-zir00whvp-001.html;adidas Originals;Poloshirt;17,90;S;3--6;multi-colored;2022-03-19 10:48:25.983954
https://www.zalando.nl/naketano-t-shirt-basic-purple-zir012kzo-001.html;Naketano;T-shirt basic;18,90;L;3--6;purple;2022-03-19 10:48:25.983954
