date,date_ymd,url,brand,category,price,size,delivery_time,color
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/pierre-cardin-trui-black-zir01tbhv-001.html,Pierre Cardin,Trui,31.9,L,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/morris-trui-blue-zir01i2mz-001.html,Morris,Trui,31.9,M,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/replay-trui-grey-zir01i426-001.html,Replay,Trui,22.9,M,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/burton-poloshirt-blue-zir01imsw-001.html,Burton,Poloshirt,22.9,L,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/massimo-dutti-trui-purple-zir01hc81-001.html,Massimo Dutti,Trui,18.9,XL,3-6,purple
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/wolsey-trui-brown-zir01i1i9-001.html,Wolsey,Trui,34.9,L,3-6,brown
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/banana-republic-sweater-grey-zir01t25v-001.html,Banana Republic,Sweater,20,S,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/gant-trui-red-zir01hitv-001.html,GANT,Trui,35.9,L,3-6,red
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/boss-trui-purple-zir01g108-001.html,BOSS,Trui,38.9,M,3-6,purple
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-sweater-blue-zir01t2uf-001.html,Jack & Jones,Hoodie,16.4,XL,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/nn07-sweater-grey-zir01e0oe-001.html,NN07,Sweater,25.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/marks-and-spencer-trui-blue-grey-zir01szro-001.html,Marks & Spencer,Trui,15.3,L,3-6,blue/ grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/pierre-cardin-trui-black-zir01eqjw-001.html,Pierre Cardin,Trui,24.9,S,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/esprit-trui-grey-zir010baa-001.html,Esprit,Trui,17.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/american-eagle-outfitters-trui-black-zir01tcyd-001.html,American Eagle Outfitters,Trui,17.2,M,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/diesel-sweater-black-zir01szdf-001.html,Diesel,Sweater,18.2,L,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/edc-by-esprit-trui-grey-zir015bvi-001.html,edc by Esprit,Trui,19.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/marks-and-spencer-london-trui-grey-zir01i4gl-001.html,Marks & Spencer,Trui,19.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/selected-homme-trui-grey-zir01i0u7-001.html,Selected Homme,Trui,19.9,M,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/quiksilver-sweater-grey-zir01sz56-001.html,Quiksilver,Sweater,19.1,XL,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/sand-copenhagen-trui-purple-zir01cgdx-001.html,Sand Copenhagen,Trui,70.9,XXL,3-6,purple
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/frankie-morello-trui-grey-zir01i1zt-001.html,Frankie Morello,Trui,48.9,42,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/hugo-trui-grey-zir01go7q-001.html,HUGO,Trui,40.9,M,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/replay-trui-bluegreyred-zir015an3-001.html,Replay,Trui,24.9,M,3-6,blue/grey/red
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/charles-tyrwhitt-trui-green-zir01td9r-001.html,Charles Tyrwhitt,Trui,39.2,S,3-6,green
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/matinique-trui-grey-zir01i1k0-001.html,Matinique,Trui,27.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-sweater-grey-zir01hyo6-001.html,Jack & Jones,Hoodie,20.9,XL,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/ted-baker-trui-grey-zir01i2sh-001.html,Ted Baker,Trui,36.9,46,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/the-north-face-fleece-trui-orange-zir01hym2-001.html,The North Face,Fleece trui,31.9,XS,3-6,orange
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/champion-sweater-black-zir015cct-001.html,Champion,Sweater,24.9,L,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/lexington-trui-grey-zir0162h4-001.html,Lexington,Trui,29.9,M,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/hollister-co-trui-grey-zir01tb8c-001.html,Hollister Co.,Trui,17.1,M,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/hugo-sweater-black-zir011mu2-001.html,HUGO,Sweater,34.9,S,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/gaastra-trui-orange-zir01tcly-001.html,Gaastra,Trui,40.3,L,3-6,orange
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/next-trui-grey-zir01tbr8-001.html,Next,Trui,22.8,XL,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/celio-trui-grey-zir010xcs-001.html,CELIO,Trui,18.9,S,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/soliver-sweater-red-zir01hz5k-001.html,s.Oliver,Hoodie,18.9,M,3-6,red
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/tom-tailor-sweater-met-rits-grey-zir01tn7y-001.html,TOM TAILOR,Hoodie,17.6,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/nike-performance-sweater-blue-zir01gltc-001.html,Nike Performance,Sweater,22.9,S,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/pierre-cardin-trui-purple-zir01tdag-001.html,Pierre Cardin,Trui,34.9,L,3-6,purple
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/esprit-trui-beige-zir015cai-001.html,Esprit,Trui,20.9,L,3-6,beige
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/versace-collection-sweater-grey-zir01i4jr-001.html,Versace Collection,Sweater,63.9,S,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/marks-and-spencer-london-trui-blue-zir011mvi-001.html,Marks & Spencer,Trui,21.3,XXL,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jlindeberg-trui-green-zir01tnu4-001.html,J.LINDEBERG,Trui,44,S,3-6,green
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/paul-smith-jeans-trui-brown-zir01i31l-001.html,Paul Smith Jeans,Trui,53.9,M,3-6,brown
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/under-armour-sweater-black-zir01e0kb-001.html,Under Armour,Sweater,21.9,XL,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/burton-trui-grey-zir01hz5e-001.html,Burton,Trui,25.9,M,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/gap-trui-grey-zir01hj1j-001.html,GAP,Trui,18.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/tom-tailor-denim-sweater-grey-zir01tas6-001.html,TOM TAILOR DENIM,Sweater,15.5,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-sweater-grey-zir01i1e5-001.html,Jack & Jones,Hoodie,18.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/tom-tailor-trui-green-zir01t2pa-001.html,TOM TAILOR,Trui,16.9,XL,3-6,green
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/zuelements-trui-grey-zir01tbm8-001.html,Zuelements,Trui,20.5,XL,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/next-trui-blue-zir01t216-001.html,Next,Trui,22.8,S,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/key-largo-trui-black-zir01tda4-001.html,Key Largo,Trui,17.6,M,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/pierre-cardin-trui-blue-zir01hymm-001.html,Pierre Cardin,Trui,19.9,4XL,3-6,blue
