date,date_ymd,url,brand,category,price,delivery_time,color
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/nautica-competition-saddle-sweater-dark-navy-nau22s00o-k11.html,NAUTICA COMPETITION,Sweater,64.95,1-2,dark navy
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/deadwood-bahama-shirt-overhemd-tan-d0u22d003-a11.html,Deadwood,Overhemd,239.95,1-2,tan
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/massimo-dutti-broek-beige-m3i22e0b3-b11.html,Massimo Dutti,Broek,79.95,3-6,beige
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/tommy-hilfiger-square-logo-tee-t-shirt-print-woodridge-to122o0io-o11.html,Tommy Hilfiger,T-shirt print,39.9,3-6,woodridge
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/harmont-and-blaine-contrasti-interni-overhemd-celeste-screziato-hr422d06p-k12.html,Harmont & Blaine,Overhemd,113,1-2,celeste screziato
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/dovre-t-shirt-basic-black-doi22o004-q11.html,Dovre,T-shirt basic,44.99,1-2,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-overhemd-white-lca22d09u-a11.html,LC Waikiki,Overhemd,45.95,1-2,white
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/hummel-hmlmt-laze-longsleeve-insignia-blue-hu342d0ae-k11.html,Hummel,Sport T-shirt,49.95,3-6,insignia blue
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/tommy-jeans-overhemd-light-blue-blue-denim-tob22d086-k11.html,Tommy Jeans,Overhemd,74.9,3-6,light blue blue denim
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/jack-and-jones-jprblatropic-resort-overhemd-navy-blazer-ja222d20m-k11.html,Jack & Jones,Overhemd,49.99,1-2,navy blazer
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/jack-and-jones-t-shirt-print-schwarz-ja222o48s-q11.html,Jack & Jones,T-shirt print,17.95,1-2,schwarz
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-overhemd-green-lca22d09r-m11.html,LC Waikiki,Overhemd,31.95,1-2,green
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/hurley-baja-volley-shorts-medium-blue-hu822f01g-k11.html,Hurley,Shorts,55,1-2,medium blue
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/boss-westart-sweater-light-beige-bb122s0d0-b11.html,BOSS,Sweater,89.95,1-2,light beige
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-carrot-slim-fit-jeans-indigo-lca22g08n-k11.html,LC Waikiki,Slim fit jeans,49.95,1-2,indigo
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/nautica-competition-anemone-hoody-hoodie-multi-nau22s00g-t11.html,NAUTICA COMPETITION,Sweater,64.95,1-2,multi
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/hurley-org-windansea-ss-overhemd-teal-tinted-hu822d029-k12.html,Hurley,Overhemd,60,1-2,teal tinted
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/the-kooples-shorts-black-tha22f00l-q11.html,The Kooples,Trainingsbroek,125,1-2,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/calvin-klein-t-shirt-basic-jaded-green-6ca22o0ch-m11.html,Calvin Klein,T-shirt basic,29.9,3-6,jaded green
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-poloshirt-blue-lca22o0er-k11.html,LC Waikiki,Poloshirt,31.95,1-2,blue
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/nautica-competition-malabo-zip-sweater-grey-marl-nau22s00i-c11.html,NAUTICA COMPETITION,Sweater,79.95,1-2,grey marl
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/harmont-and-blaine-poloshirt-sabbia-hr422p02n-b11.html,Harmont & Blaine,Poloshirt,163,1-2,sabbia
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/just-cavalli-overhemd-black-ju622d06v-q11.html,Just Cavalli,Overhemd,259.95,1-2,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/jack-and-jones-premium-jprblubrook-oxford-band-overhemd-black-jam22d08h-q11.html,Jack & Jones PREMIUM,Overhemd,39.99,1-2,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/defacto-poloshirt-anthracite-dez22p03x-q11.html,DeFacto,Poloshirt,17.9,1-2,anthracite
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/harmont-and-blaine-poloshirt-blu-scuro-hr422p02n-k11.html,Harmont & Blaine,Poloshirt,163,1-2,blu scuro
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/peuterey-t-shirt-basic-grey-pb722o002-c11.html,Peuterey,T-shirt basic,69,3-6,grey
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/hurley-t-shirt-print-white-hu822o02i-a11.html,Hurley,T-shirt print,35,1-2,white
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/just-cavalli-overhemd-greenblack-ju622d06y-m11.html,Just Cavalli,Overhemd,259.95,1-2,green/black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/emporio-armani-t-shirt-basic-bianco-caldo-ea822o06y-a11.html,Emporio Armani,T-shirt basic,99.95,1-2,bianco caldo
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/just-cavalli-sportsjacket-spijkerjas-blue-denim-ju622t01p-k11.html,Just Cavalli,Spijkerjas,544.95,1-2,blue denim
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/nautica-competition-finley-t-shirt-print-grey-marl-nau22o00m-c11.html,NAUTICA COMPETITION,T-shirt print,39.95,1-2,grey marl
